"Type","Name","SizeGB","Modified","Path"
"Unknown","test_XRGB8888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\LZ4\test_XRGB8888.bin"
"Unknown","test_XRGB8888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\UNCOMPRESSED\test_XRGB8888.bin"
"Unknown","test_XRGB8888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\UNCOMPRESSED\test_XRGB8888.bin"
"Unknown","test_XRGB8888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\RLE\test_XRGB8888.bin"
"Unknown","test_RGB888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\UNCOMPRESSED\test_RGB888.bin"
"Unknown","test_RGB888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\RLE\test_RGB888.bin"
"Unknown","test_RGB888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\LZ4\test_RGB888.bin"
"Unknown","test_RGB888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\RLE\test_RGB888.bin"
"Unknown","test_RGB888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\LZ4\test_RGB888.bin"
"Unknown","test_RGB888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\UNCOMPRESSED\test_RGB888.bin"
